"","GSM1301444","GSM1301445","GSM1301446","GSM1301447","GSM1301448","GSM1301449","GSM1301450","GSM1301451","GSM1301452","GSM1301453","GSM1301454","GSM1301455","GSM1301456","GSM1301457","GSM1301458","GSM1301459","GSM1301460","GSM1301461","GSM1301462","GSM1301463","GSM1301464","GSM1301465","GSM1301466","GSM1301467","GSM1301468","GSM1301469","GSM1301470","GSM1301471","GSM1301472","GSM1301473","GSM1301474","GSM1301475","GSM1301476","GSM1301477","GSM1301478","GSM1301479"
"SHISA3",4.4538593,4.541963,2.9859095,5.9270635,4.605378,4.820438,5.287087,5.4520254,4.579191,2.8899026,6.3452196,5.1032453,6.767842,2.8235846,4.602054,5.146103,4.4828763,6.538536,10.18007,9.780321,10.124165,9.997829,9.190359,8.083792,9.35628,10.084773,10.631652,7.487434,9.300476,9.0207405,10.8236885,7.3010674,9.148025,9.279381,8.261705,9.210225
"LTF",11.580047,11.466675,8.036058,10.783989,11.965546,11.700599,10.6550045,12.563408,11.538571,6.979547,14.079532,11.754784,10.003501,9.3589945,11.458353,8.870561,11.757139,11.806885,15.603315,17.808893,17.463427,17.508255,17.776012,17.426395,18.19981,18.455616,16.878683,16.515749,17.13517,17.585993,16.375977,18.904018,17.475866,17.49033,11.597679,18.64855
"ZNF667",7.2597575,5.9054675,6.16974,5.7133865,6.5044537,6.3167224,5.9608407,6.689463,6.5815086,6.1938105,5.970908,6.3217854,5.8954015,6.3966274,5.7133865,5.624329,6.442594,6.7026954,7.5476007,7.7165704,8.016288,7.896245,7.71147,7.533658,7.853838,8.502637,8.033003,7.437952,7.7585144,7.6868877,8.1187935,7.0087724,7.5563793,7.669658,8.579325,7.778222
"C16orf89",5.750863,5.2744368,4.3691044,5.5715205,5.78454675,4.75314885,4.89453785,6.63553825,3.8225437,4.23505865,5.51128935,5.9987745,4.445019,4.6856911,5.05766905,3.65100185,4.39333525,6.40459565,7.4594552,8.30537515,8.094759,8.5930868,10.155436,7.1006375,8.6110402,8.708261,8.892776,7.4708268,7.86945725,8.0142615,7.8406747,10.20858275,7.6480515,7.8956965,7.20774035,9.261925
"ADH1B",2.6155548,2.6681154,2.6145492,3.8532045,2.9350972,2.5933297,2.620969,4.3193398,2.6116014,2.6097364,2.8945706,2.6252232,2.6223214,4.080413,2.6319375,2.6310284,5.2682652,4.254259,7.1049447,7.5278997,8.2645035,7.284199,6.546828,4.5054092,6.9133763,7.835644,8.130817,5.565408,7.5726137,6.6584764,8.688386,6.6971874,5.417265,7.1168833,4.763532,6.185601
"EDNRB",7.504189,7.68216965,7.70991275,7.36568975,6.6778093,7.4481615,8.0321455,8.39526965,7.1628205,7.691391,7.8323202,8.41723175,6.958859,7.75735425,6.66803935,8.57537635,7.46225535,8.5198263,9.655601,9.7239925,9.7497245,9.3996365,9.592468,9.1810472,9.7935915,8.8738425,9.578164,9.044554,10.178245,9.354467,10.056135,9.763364,9.8371045,9.5174145,8.4711545,9.5070595
"DGKD",14.445468,13.372807,13.055205,13.7808485,13.626909,13.528587,12.44925,14.017073,13.126454,13.589638,14.199685,13.636572,13.147953,13.354527,13.44763,12.7136755,13.006667,13.541493,15.172636,14.712405,15.163174,14.996582,14.97537,14.797667,15.372349,14.546218,15.100994,14.7540245,14.933818,15.110762,15.090818,14.11569,14.586307,14.8520155,14.911116,15.047249
"PLAU",14.359688,14.88234,15.965838,15.37043,15.502701,15.164197,15.316956,14.395264,16.442902,16.04266,13.57561,16.34432,17.959314,16.666111,15.31272,16.346453,16.676176,14.728335,12.679353,13.003075,12.851938,12.738709,13.422739,13.60274,12.813654,12.429904,12.572706,13.573705,12.79436,12.219558,13.2443,12.977831,13.010177,12.853038,13.091247,12.626064
"FOXP1",12.9142685,13.2320935,12.500646,13.1669495,12.3050095,12.6608255,12.80765,13.352546,13.2513705,12.7211135,12.8272805,13.456083,13.116417,12.648445,13.118621,12.7072955,12.7367525,12.9309815,14.2877095,14.030258,14.1230175,14.0599045,14.2429765,13.68801475,14.125368,13.8610545,14.064336,13.7737915,14.00424,13.9969335,13.978015,13.869871,13.867028,13.8045335,15.177089,13.9401075
"GDF10",5.2678987,4.70062815,4.2804778,5.26723515,4.1820856,5.2325382,4.20849425,7.18267765,6.588061,4.40486525,6.2846444,6.77539235,4.829817,5.19842685,4.69849,5.07704635,4.43517725,6.30597235,8.4544712,8.6745723,8.29362835,7.6436519,8.7584793,6.94608405,8.968784,11.190349,8.6383733,7.6614948,8.26524475,7.7416465,8.34929965,9.1408385,7.801244,7.5859225,7.740648,8.8332215
"C7",7.2407885,5.37471515,4.893435,6.2404025,5.0316995,8.4180965,5.2085692,8.04742015,5.0810437,4.7854024,7.0408158,7.14718915,5.5816465,6.252887,5.61249275,4.77230655,5.22937395,7.73909465,9.88869325,11.675749,11.471272,9.874934,9.7803335,8.9868865,8.4136565,10.399378,10.744097,9.7283485,10.298295,9.61018,9.199763,11.259513,10.111913,10.811544,6.7177395,10.462934
"IGSF9",12.608144,13.404754,13.472956,13.054699,14.263995,13.335975,14.834358,14.042666,12.527132,14.880368,14.307954,14.911116,10.577287,12.988079,14.957611,13.709269,14.535897,11.840702,9.853565,10.57925,10.278351,10.523894,11.252383,9.694841,9.541439,10.000591,10.837928,12.408592,9.786322,10.473176,10.975935,10.703896,10.281297,10.94552,10.210243,10.558297
"SLC26A7",4.8486808,2.7007712,3.0149759,3.6615258,3.20507565,2.9528511,3.3706193,4.5508504,2.80428685,5.7868611,4.68028615,4.3163253,3.30519655,3.4221011,5.06518435,3.89859415,3.7343329,5.0358287,7.02105435,7.57619935,8.32265665,8.42230065,8.0882705,5.19124385,7.4089825,4.9436135,8.152109,7.60138345,8.584052,6.82505735,8.2393384,7.1409085,6.5009897,6.861688,5.54929335,6.26405225
"MMP1",12.50706,12.603885,15.613292,15.412523,15.018646,16.944103,14.376111,12.845398,17.531939,16.666111,13.274897,15.880645,17.053679,12.451381,14.478902,16.733135,18.388554,15.180485,10.14898,9.855842,9.056009,9.847896,10.748873,14.899793,10.779775,7.4371834,8.269278,8.911234,10.047083,9.75059,8.663167,9.231607,10.097032,9.754473,9.42008,9.564465
"LRRC34",8.590375,9.213947,8.543986,7.488548,7.0901175,7.557348,8.338019,7.949098,8.129792,6.816907,9.503336,9.120491,8.921838,7.388269,7.3791165,7.834539,7.916319,7.827091,10.527875,11.1508255,11.778065,10.242714,12.040799,9.397647,9.938447,10.718209,10.713743,10.898018,9.996714,9.970385,10.227373,9.043126,10.878829,12.019934,10.378826,10.773834
"UNQ6494",10.319644,9.210617,8.165715,10.148269,9.662242,10.297485,9.383214,8.657902,10.009615,12.258593,6.361119,9.994619,8.454285,11.411326,8.94135,8.624489,9.181891,8.061183,6.140433,5.747431,5.328498,6.004838,5.6239905,6.134181,6.1630726,3.718607,4.7877884,7.253816,6.385573,5.891401,5.3430924,3.6173296,5.677344,5.675537,7.3271184,6.8624544
"TTC21A",11.257736,10.966791,10.369717,11.113207,9.919534,10.24604,9.810776,11.04454,10.591843,9.41061,11.155968,10.908719,11.803923,11.42336,10.566051,10.683121,10.512901,10.491229,12.45978,12.311783,12.646026,12.349634,13.181251,11.491322,12.096702,11.559878,12.544937,12.670709,12.014132,12.0467205,12.095522,12.767225,11.970085,12.689521,12.271982,12.236467
"CDO1",7.1582937,7.695267,6.2132683,8.025588,5.8930063,6.515754,7.0338907,9.201694,5.430124,6.673998,8.187341,7.713473,4.993186,6.9452252,6.1059804,5.968244,6.7081223,8.582156,9.865989,10.454401,10.416993,9.985571,10.322413,9.037373,10.057838,12.758273,10.159417,8.916949,9.9068775,9.972022,11.124256,10.523189,9.090107,9.588291,8.851641,9.872061
"RSPO1",6.7831048,6.833955,6.29890385,7.639988,5.9402975,6.2833267,5.2764703,7.95782275,5.16882065,5.3158101,6.7315177,7.587513,5.2622793,6.4897902,4.879217,7.7167632,6.01180385,7.9408237,9.4800075,9.3381205,9.828785,9.5118545,9.2249878,8.1933068,9.53111785,7.79642885,9.6380705,8.38122165,9.56063885,8.6836307,9.60105765,8.8052065,8.03523625,8.53966515,9.08033065,8.995155
"NEIL1",13.716861,11.467188,11.269645,11.552685,11.59385,11.875521,10.342356,12.058197,11.708104,10.786846,12.628409,11.50382,10.9102335,11.39839,10.328319,10.322642,11.069072,12.127122,14.199685,13.964992,13.432146,14.024747,13.874152,15.377854,14.702858,12.697311,13.669696,13.3895035,13.71439,14.386461,13.467841,13.544181,13.544181,14.331344,12.3654585,14.010807
"C2orf40",6.3175197,9.739013,8.339778,4.162236,4.452172,2.926819,6.83023,6.3148456,5.7431483,3.7860596,8.236047,8.4073,4.470072,4.755274,5.440263,5.3720593,6.7011843,6.367592,9.818781,11.332276,11.530028,11.003649,12.463642,7.4865937,9.520219,12.773867,11.122491,9.202904,10.068803,11.010656,10.416149,10.46749,10.462694,11.299219,9.911115,11.010077
"MSLN",6.916927,11.832473,7.459215,6.2455606,7.076004,8.643805,7.549226,5.5299497,5.763931,6.8785114,8.500347,6.7633257,5.351094,7.2550297,7.225118,7.1533804,6.3186297,6.555659,9.804198,11.299735,11.430945,12.761157,12.673433,10.640718,11.834733,8.238427,10.79548,10.896908,11.403653,11.619438,10.044819,10.282938,10.882166,11.561961,9.840481,11.126845
"GPRASP1",10.693215,9.917901,9.208973,9.988647,9.561594,9.340764,8.714518,10.447732,8.98291,10.509372,10.504125,9.934386,9.712158,10.454977,10.23001,8.338019,9.417618,9.871817,12.4519825,11.838741,11.928128,11.878378,11.697117,10.410261,11.443081,11.428662,11.633547,11.173191,11.820777,11.577901,11.601178,11.047217,11.196751,11.237235,10.911006,11.604693
"LOC644192",6.3685775,6.6080923,6.65917945,6.53448,6.2740268,6.610501,5.79801765,7.66643185,6.99287125,6.7610409,6.71422075,6.68548435,5.69153275,6.3922622,6.22142815,6.97433965,6.66891555,6.78743815,7.9137788,8.0825295,7.9717975,8.277461,8.468514,7.645936,7.8878525,8.5116817,8.09267615,7.5476335,7.8192033,7.6759765,8.1747563,8.36628315,7.230346,7.56882935,6.969996,7.76862145
"CAPS",11.45831575,12.0446335,12.07127,10.89348,11.792927,10.856562,11.3263505,10.84404925,11.03878,10.2616595,12.4735015,11.966032,9.9811695,11.2321095,11.3786605,10.6195895,11.08673,11.373084,13.9358835,14.394563,14.479686,14.3184145,15.713783,11.2939005,12.993625,13.151604,13.9394765,14.322498,13.422987,13.1484655,13.403784,12.4984595,13.851556,15.475945,13.7538365,14.57101125
"ADH1A",6.18699835,6.7822325,6.7272332,7.8710255,8.8425035,5.4552145,7.44819835,8.3552815,4.6821412,3.8968451,10.967945,6.07894465,4.3336505,6.2372208,4.58256275,5.071027,5.49856675,8.058442,10.8509985,11.31899275,12.343987,11.05544025,11.12120925,8.817852,10.2380045,11.766777,11.749856,9.42807,11.2784335,10.405104,11.9319225,10.618712,9.674545,10.86731275,9.728633,10.684242
"ROPN1B",4.8240848,6.4352274,5.119405,3.2312825,5.842573,2.7614417,7.087416,3.8445911,2.702995,5.4368825,6.396978,6.2542744,2.6614475,4.3037157,6.144902,4.2811866,4.636809,5.5719852,7.5687366,8.723717,9.303221,7.9213767,9.114286,6.8311353,7.077598,9.910666,8.477643,8.146817,7.810673,8.27429,7.103123,8.475296,8.095643,9.119452,7.5486403,9.105311
"BAIAP3",6.479224,7.04348,6.979819,5.857766,7.367814,6.09679,5.973218,7.426488,6.652017,4.7775674,8.434523,6.547358,6.9695253,6.058036,5.7664676,5.396455,5.8072968,6.101284,8.545565,8.979448,9.373035,9.055755,10.641158,6.96453,8.020007,9.074964,8.828227,9.381383,8.442882,8.159365,8.734818,8.07719,9.4853,10.086667,9.184446,8.998827
"FCER2",6.7114387,5.731071,5.457908,5.9956226,4.5787115,5.2990966,4.6478877,6.8893223,5.166391,5.171715,7.046379,6.1711736,5.888938,6.242906,5.3550906,4.219854,5.1405153,5.815941,8.583385,7.694197,9.12071,8.911234,9.405474,7.952905,9.330736,6.2746186,7.547166,7.278683,8.1336355,8.733169,9.147084,6.718793,8.123296,9.610967,9.254525,10.931085
"CBX7",12.9880595,12.372449,12.1868675,12.537205,12.3136045,12.57698,12.5463145,13.1265425,12.3682225,11.30688575,12.76572,12.7719135,12.0070195,13.16250975,12.9048875,11.28679475,12.53683125,12.832489,13.987531,13.7934545,13.9193445,13.9726745,14.01921825,12.8950825,13.4941865,14.245466,13.8549355,13.704492,14.0337385,13.820765,13.8976605,13.211806,13.602207,13.79667,13.901969,14.0695555
"MEF2C",13.181251,11.045692,11.160173,11.849028,10.642381,11.659983,10.911324,12.588703,11.237758,11.298191,11.651932,12.090457,11.754282,11.921369,10.818959,10.052041,10.838872,12.121841,13.455191,13.217167,13.302868,13.2745075,12.938706,13.729525,13.897567,14.924427,13.680674,13.1398115,13.464187,13.950597,13.734408,12.028736,13.171723,13.389091,13.052334,13.639616
"CD5L",2.7361338,4.622117,3.3503835,3.762349,3.007676,2.9260707,3.1472046,3.0469773,4.93263,2.7273111,4.000871,2.7383127,4.512043,2.715262,3.2360327,4.242656,3.1694717,2.6825857,6.219765,8.890182,8.88765,9.012135,9.78238,4.465367,6.298169,5.7593126,8.752169,8.16147,9.252704,4.949452,8.200765,3.54523,8.858713,8.035065,8.407044,6.5393844
"LRRC36",7.1689053,7.48611,7.431668,6.795656,6.491102,6.7793703,7.2314286,8.157468,9.176252,8.323215,8.386612,7.782955,7.715093,5.930234,6.0226903,6.8437433,6.558605,6.8373303,9.554773,9.857693,10.347493,9.255361,11.140643,8.317359,9.888787,9.147337,9.022428,10.052507,9.891987,9.201014,9.263307,8.701876,8.730056,10.959862,10.118108,9.629621
"C17orf72",10.327698,11.633799,10.646811,9.60243,9.532821,10.010396,9.877196,9.357099,9.421859,8.482351,11.39018,10.666666,9.445447,8.872166,8.742339,8.904129,9.811326,9.250279,12.821824,13.282265,13.834679,13.004658,14.818122,9.421639,11.768204,12.281127,12.93122,13.364435,12.154217,12.309456,12.193728,11.903866,13.395797,14.33417,12.601575,12.692822
"CCDC42B",8.112617,9.767478,8.866587,7.5680885,7.521984,7.508462,7.5817704,7.10446,7.501825,7.0565977,9.488726,8.279219,6.9598694,6.461461,7.6847215,7.1716256,7.573886,7.306791,10.519588,10.871095,11.212082,10.4663925,12.710172,8.41587,9.261545,10.3171015,10.638724,11.024289,9.909317,9.825476,9.707051,9.163755,10.768509,11.760706,10.289921,10.520771
"SMAD9",7.3668165,7.0231283,6.488473,7.188627,5.853245,7.02341695,6.79411265,8.3846675,7.42807055,8.1495275,7.0301917,7.1812822,4.95918295,6.6377537,6.27153625,8.398414,7.04631325,7.6738275,8.9315465,9.8021285,9.131266,9.071093,9.00824,8.418483,9.240693,11.062188,9.172901,8.9648565,9.259809,9.640368,8.968765,9.7850655,9.157671,8.9854935,7.88961775,9.880884
"APBB1",9.278896,8.2190705,8.47937675,9.034937,8.49772725,9.287741,8.348348,9.224749,8.905138,8.137827,9.1475515,8.6057565,8.478736,9.211878,8.751982,7.82521845,8.698527,9.218593,10.08708,9.913511,10.1864855,10.6686015,11.4143625,10.0396785,10.3477155,10.804978,9.736717,9.493201,10.007505,9.590174,10.1029375,9.4193385,10.2462295,10.67399475,9.64327525,10.723653
"HOXA10",6.74336653333333,7.6241831,8.07640806666667,6.6566062,7.5838971,7.10688086666667,8.09534866666667,6.5085747,4.72646146666667,8.40825753333333,8.838451,6.41122626666667,3.78862573333333,6.9888721,7.4668632,6.27959093333333,7.2206942,7.40677133333333,3.5672658,3.7180487,3.8227847,6.05521913333333,3.92414746666667,3.735706,3.5903662,3.7507651,4.00351126666667,5.16840646666667,4.02030753333333,5.02145773333333,4.43471343333333,3.42711443333333,4.52885823333333,4.2580935,4.41596476666667,3.46371063333333
"RERGL",2.7923942,7.359234,2.7125776,2.9938538,2.686341,3.6424499,3.1174448,5.818964,3.104719,2.9019468,4.2173753,2.8756087,3.0579855,2.920546,2.748785,2.817921,4.862428,2.93622,6.809212,9.113348,8.382706,6.988223,9.13116,6.035639,6.071262,12.194016,8.394599,6.3309846,7.170094,5.936648,8.344387,9.990355,5.8676496,7.1122303,6.841525,9.040969
"C13orf26",2.7300775,4.465367,5.1116424,2.6894622,2.6743205,3.1003933,2.7405682,2.6916702,2.840255,2.8415747,3.117853,5.472841,2.7619784,2.7289646,2.7120724,2.7845528,2.6968732,2.709294,6.158046,7.912275,7.588596,6.740896,8.936997,2.6525066,6.076672,7.034601,7.003536,6.6295795,6.2888036,6.3029504,5.7143483,4.1739593,7.0940957,8.661659,6.267545,6.844844
"KIAA1377",6.50123475,7.3827703,6.6386415,6.67951315,5.00595625,5.4709087,7.5999795,7.44993085,6.29198885,7.73170915,6.9986828,7.531213,5.335981,6.656639,6.4954195,6.6231885,5.63748675,6.67469385,9.0189378,9.28093,9.620547,8.8546545,9.4882753,6.56753815,8.378458,9.6464525,9.29433575,8.96433915,8.6858535,8.39759385,8.4195355,7.8531055,8.5505857,9.46075975,9.1228455,8.9102755
"ADRA2A",9.422388,8.858507,6.987108,9.509949,7.075035,7.764213,7.503954,11.855381,9.62448,9.630913,9.274793,9.331337,5.747132,9.094222,6.704824,7.465156,8.763648,10.08131,12.24069,12.034316,12.214256,11.484599,12.10164,12.264061,12.619262,10.030095,11.330079,11.343489,12.751653,11.851569,12.290494,12.261435,13.062435,11.636249,10.553766,12.615919
"VILL",11.662306,11.290042,11.09411,11.722825,11.17128,11.614285,10.308357,11.7765465,10.874723,10.812102,11.346551,11.205351,11.6113615,11.506744,10.633334,10.467322,10.981387,11.852105,12.740542,12.427196,12.741056,12.675605,13.46927,11.942917,12.666769,11.238243,12.703908,12.673086,12.752458,12.504008,12.608144,12.757181,12.60351,12.516763,12.07136,12.752057
"PXK",12.09826875,10.4688465,10.6715195,11.417256,10.68940725,11.187948,10.7305565,11.9075075,10.861559,9.902846,10.9654385,11.2204495,12.0652245,11.31751225,10.918846,10.746907,10.630021,11.263663,12.8850465,12.763168,12.4051785,12.7447345,12.249941,13.029933,13.214625,11.80771,12.7565005,12.247271,12.456313,13.167711,12.6919105,11.46771,12.2319875,12.325984,12.4939925,12.7036105
"FAM129C",11.5747805,9.1807555,6.5948863,9.854261,7.41248135,7.462405,7.72953165,11.0917485,8.12497915,6.88530725,10.672265,9.59668625,8.512836,9.5028135,8.2184635,5.88650015,7.5996068,9.410547,12.3959395,12.201267,12.4019695,12.9811845,12.378419,12.601431,13.1684655,9.0192182,12.5777875,12.042492,12.7204225,12.8667725,12.721943,11.0079665,12.1393915,12.3185415,12.614887,12.791335
"FMO5",6.3599878,5.61625575,4.5085613,6.00532525,6.6322235,6.008784,6.43699485,6.5526469,6.25202675,4.72662835,7.6502205,6.9835484,7.3179164,5.8741944,5.42273065,6.2070885,6.08115865,6.6270458,7.2161553,7.930658,8.367337,7.85020125,8.346333,7.3232483,8.116339,8.581988,8.2551045,7.54831175,7.7230102,8.1355875,7.950432,7.6667263,7.81925775,8.692333,7.7597312,8.1022965
"ANKAR",10.010096,9.4853,8.8096,9.790807,9.32664,9.461197,9.228299,9.949289,9.147569,9.362308,9.452297,9.78902,9.399999,10.036005,9.710907,8.389926,9.286843,9.6177225,10.644605,10.111789,10.650459,10.624882,10.329412,10.008262,10.594391,10.123916,10.643769,10.457023,10.649633,10.352861,10.713743,10.880622,10.0986,10.489083,10.527365,10.490071
"MPP3",10.654938,11.9220965,11.5384005,10.110343,12.7167675,11.3080265,10.3913505,10.154099,11.884481,11.9913525,9.956419,11.983511,9.4395225,11.3173565,12.1606255,11.15804,10.651635,9.9808775,8.8875225,9.1777925,9.06356,9.15985275,9.2546915,8.6348775,9.0961635,9.2083695,9.2692925,9.878553,9.3072835,8.840814,9.076485,8.8459575,8.69835775,8.966554,7.3218117,8.9572175
"HEATR7B1",3.4484527,4.4394174,3.6625328,2.6735694,4.241283,3.0952606,5.501399,2.716646,2.9024312,2.752811,5.1605945,4.2025356,2.7931552,2.6969829,2.6827197,7.430116,2.688404,5.5062294,8.220718,6.9984283,6.6603765,7.853838,7.656399,8.009976,8.011735,4.205129,8.058951,5.789985,8.916668,8.995094,8.132292,6.803126,8.186647,8.321272,6.2452474,5.8807783
"TCTEX1D1",3.3095357,6.3545914,5.400598,4.2468266,4.6686816,5.2849207,4.9189396,5.3800464,6.9408245,3.6683934,5.874316,5.457908,5.641786,4.9436607,4.0985827,5.3713627,5.9319973,5.4694624,7.503954,8.561863,8.805117,7.122081,8.846422,5.2613635,6.807627,7.8797097,7.9075255,8.465452,7.4382544,7.32938,6.9531817,7.328142,8.185111,9.006824,7.120709,7.6666584
"ZIC5",6.15005753333333,5.60024553333333,6.21136563333333,6.2256386,6.60033653333333,6.5017746,7.62120886666667,7.17097733333333,7.43091186666667,7.30499576666667,6.07562533333333,5.82950096666667,6.4366501,5.75574316666667,7.25627353333333,7.09979676666667,6.25848403333333,5.86472723333333,4.98603733333333,4.68462826666667,5.11465343333333,5.3005094,4.7498354,4.6050832,5.17230166666667,5.15803996666667,4.78414393333333,5.56831506666667,5.00661976666667,5.45659813333333,5.3325014,5.3265917,5.11585073333333,5.0579162,5.5852006,5.35007153333333
"FAM107A",7.72936083333333,7.99835566666667,6.95264573333333,8.61235696666667,6.2926549,8.2495829,7.1107301,9.08187346666667,8.102383,5.68431933333333,8.05442783333333,8.2239949,5.17082296666667,6.69900893333333,5.65848806666667,8.05773283333333,7.89283276666667,8.50526866666667,9.8091512,10.0130673333333,9.64275433333333,10.1780581666667,10.1518096666667,9.923526,9.82596276666667,11.607261,10.0189855666667,9.64797043333333,10.2817026666667,9.609217,10.08592,11.862072,10.3386593333333,9.7552751,8.46388866666667,9.947424
"TMEM146",5.966489,7.9559464,6.253143,4.765219,4.4241624,4.572466,5.5635867,5.133596,5.0954103,5.5363736,7.347211,7.027142,5.0362086,4.214169,4.2259436,4.182946,5.38999,4.0104146,8.613362,9.690397,9.675527,8.70372,10.527074,5.459782,7.1560965,8.359969,9.033125,9.068783,8.699797,8.612621,8.740904,6.2631955,9.343789,10.227562,8.685218,8.731623
"LRRC46",9.241314,10.754977,10.339619,8.250018,8.500107,7.7331815,8.711733,8.200322,8.558201,7.379659,10.737265,9.796894,7.784777,8.211216,7.7446656,8.049307,8.524177,8.159835,11.687052,12.156958,12.613544,12.024844,13.801107,8.752956,10.41767,11.253719,12.463085,12.022572,11.127335,10.419259,11.3644085,10.647084,12.246469,13.259423,11.618547,12.013266
"CARNS1",7.751835,7.163632,6.9746304,7.4671803,6.2320786,6.765699,5.595755,8.179938,6.776302,5.9848223,7.5626974,7.3877826,6.3473854,7.8385963,7.5663533,5.826469,6.5381956,7.6260405,9.618155,8.436027,8.571138,9.178665,9.318932,8.638615,9.23323,10.716768,8.613948,8.523078,8.89343,8.580107,8.771263,7.8310986,8.926194,8.560691,10.040763,8.258168
"LOC100129447",7.800867,6.556192,5.6512923,6.233939,5.491238,5.2210374,4.8118224,7.6236076,6.6987786,5.2584915,6.8532066,5.950237,5.368609,7.349841,5.9054675,6.119658,5.048071,6.0377827,9.634101,8.356785,8.482487,9.0682535,8.5182495,9.288407,9.282961,6.0745645,8.664477,8.244754,9.112468,9.316408,8.622792,6.466679,9.077053,8.596879,8.196986,8.843508
"C1orf87",6.546828,8.716432,7.964614,4.539414,5.441642,4.262721,6.421139,4.6682706,5.319484,3.815247,7.93332,7.6672263,3.446464,4.7961574,4.686432,5.0177736,6.3588214,4.870706,8.999036,10.815465,10.728256,9.650459,12.015096,5.9994907,8.813368,9.031241,9.77462,9.487987,9.448819,9.54999,8.783492,7.9916,10.222465,11.440847,9.198546,10.217567
"MAPRE2",9.15625783333333,8.593971,8.07201933333333,9.13652566666667,8.28443453333333,8.85448636666667,8.71991683333333,9.33005966666667,9.06969733333333,8.98825733333333,9.1145011,9.16289066666667,9.3153951,9.54756366666667,8.34207453333333,8.57009703333333,9.220242,9.13494923333333,9.909947,9.836398,9.85522343333333,10.3386323333333,10.0562251,10.3939151666667,10.3881634666667,10.3356948333333,9.90540613333333,9.754935,9.98374613333333,10.1795769,9.854657,9.21506716666667,9.92883783333333,9.78623666666667,9.3657755,10.275291
"TTC29",6.983147,8.7883625,8.571138,4.8263526,6.921065,4.493815,7.15252,5.0688004,6.7311363,5.6899996,8.355796,8.423884,4.094651,5.538558,5.608079,7.4093184,6.9143987,5.817774,10.062737,10.947446,11.455141,10.21,11.805974,7.0495734,8.778307,9.837095,10.491724,10.566471,9.591441,9.62871,9.570746,8.4381075,10.887782,11.675511,9.651459,10.433378
"ECT2L",2.9485888,4.9733233,4.5386333,2.74776,3.0774894,6.713824,3.7670712,2.839952,3.2142985,3.1333976,4.355006,4.1973104,2.864513,3.0575612,2.8773997,2.9161282,2.7917936,2.9533374,5.8863935,7.5300937,8.005298,6.7845135,7.9107842,3.22004,5.9881816,6.475767,6.8063297,6.5914946,6.736143,6.5056586,6.165515,5.2221093,7.8423696,8.7621155,6.2468843,6.0758867
"C1orf173",5.88951893333333,7.47223876666667,7.09974333333333,5.53534586666667,5.61148616666667,3.67634636666667,5.9982862,4.858585,5.37046796666667,7.4034365,7.17801906666667,7.22064766666667,5.98496266666667,5.6412398,5.7803788,4.8284711,6.0432441,5.63509676666667,8.78802716666667,9.19187133333333,9.6196531,8.53324666666667,10.1155858333333,5.74762586666667,7.34994683333333,9.0389,8.675177,9.3273008,8.2405275,8.30356533333333,7.88472776666667,8.22641356666667,9.0896265,10.067424,8.73439256666667,8.91847566666667
"CADM3",8.300883,8.040764,7.063373,8.100112,7.0856514,7.281602,6.615846,8.531211,6.842682,6.997193,7.7489395,7.2683425,7.5750484,7.480286,6.608206,6.356643,7.2935786,7.80992,9.451052,8.61694,8.241537,9.157842,9.315998,8.904686,9.131366,8.716162,8.624993,8.510585,9.361546,8.829186,9.271884,9.272111,9.865989,8.880446,7.5284014,9.543282
"ZNF471",5.74732223333333,4.79387993333333,3.9587108,5.08029043333333,6.6394196,6.1726394,4.1145164,5.24426846666667,5.44267743333333,5.39571436666667,4.5310797,4.2987899,4.45949056666667,4.05908533333333,3.33200636666667,3.914709,4.79169263333333,5.70509916666667,6.9542284,6.80758603333333,6.8125039,6.4677613,6.8566271,6.08466026666667,7.03203206666667,8.00339553333333,7.02169753333333,6.22413093333333,6.65134833333333,6.73148853333333,6.64730756666667,6.03738653333333,6.61087723333333,6.39024176666667,7.2819523,6.8270173
"AK7",6.0551505,8.401166,7.7026377,5.4045944,5.9614267,4.794028,6.673694,4.860006,5.854262,3.541413,8.899651,7.9441915,6.4383187,4.2579365,4.6626496,6.0628433,5.4906507,5.4368825,9.540948,10.326061,11.0431795,9.460718,11.243817,6.219765,8.429459,9.384165,10.125351,10.337609,9.033681,9.194413,9.116109,8.129579,10.328923,11.353549,9.339899,9.907328
"LOC100507311",6.7127943,7.026552,5.912511,7.22818,5.1797915,7.627445,5.2694774,8.018668,6.9505606,5.3622236,6.9698377,6.08457,5.3039002,6.2855673,5.3022113,6.360325,6.474581,6.6950107,8.650916,8.467917,8.93255,9.148025,9.404529,7.662603,8.320788,9.457949,8.781493,8.013229,9.019333,8.114635,8.866158,9.334775,7.3118353,7.8112025,7.272594,7.866285
"DIO3OS",4.8105974,5.4383802,4.5510426,5.9071712,4.363629,6.226239,4.0831046,6.3849125,4.1266875,6.4478874,5.8206716,4.493297,2.7321367,4.3993034,7.4203324,5.224641,4.0681143,6.3150716,7.948109,8.273062,7.8737874,8.377518,8.993219,7.514859,7.791914,9.30405,8.111763,7.246766,8.550209,8.022692,8.646953,6.825515,6.3460865,7.5360208,6.2993646,7.377332
