"","GSM1301444","GSM1301445","GSM1301446","GSM1301447","GSM1301448","GSM1301449","GSM1301450","GSM1301451","GSM1301452","GSM1301453","GSM1301454","GSM1301455","GSM1301456","GSM1301457","GSM1301458","GSM1301459","GSM1301460","GSM1301461","GSM1301462","GSM1301463","GSM1301464","GSM1301465","GSM1301466","GSM1301467","GSM1301468","GSM1301469","GSM1301470","GSM1301471","GSM1301472","GSM1301473","GSM1301474","GSM1301475","GSM1301476","GSM1301477","GSM1301478","GSM1301479"
"DGKI",2.6533108,2.631395,4.3486395,3.220904,4.695764,2.6700332,5.0895705,4.66159,5.7759495,6.8649645,3.2237716,4.7379465,2.669953,3.5280752,4.270279,6.159126,5.3871017,3.9942708,2.6839788,3.5163825,3.2719917,2.7002947,3.6904547,2.6922092,2.7790165,4.297029,3.090403,3.0169234,2.6610756,3.1517065,3.2693205,3.695289,2.6378942,3.2885358,3.7020745,3.0094588
"APOD",7.563998,7.9165516,7.2335496,9.679939,7.272594,8.471657,6.729703,7.884587,8.246211,7.957481,9.220733,7.9384537,3.3076644,9.503141,5.2459726,7.2354465,8.639016,10.153354,7.829903,8.158618,10.195604,9.140553,10.970809,7.89185,8.797614,13.824298,9.227612,10.523652,7.3668604,8.393163,9.518421,12.480753,8.577025,10.055566,8.843508,11.732943
"C6orf168",7.89836535,5.81760405,6.968299,7.1664955,10.2755225,7.463111,11.5464355,7.7257755,6.8041234,11.0852355,8.6561725,7.9974967,3.8209103,4.4000142,8.3959735,6.72369975,8.8743868,8.1171445,5.06775025,5.56060795,7.049596,5.53148615,6.55005185,5.3107948,6.4562886,7.7100775,6.34134055,6.7469595,4.22621575,6.5762901,5.83682085,7.5200208,5.37544945,5.37844585,5.71260025,5.945045
"NMNAT3",11.713932,11.075361,12.330151,10.53655,8.968154,9.749283,12.346041,9.839923,9.191693,11.37757,8.859909,10.30427,7.7647643,12.051532,9.1821,8.941812,12.31886,7.671139,9.073468,8.840109,8.690782,8.879279,9.066507,9.135783,9.345427,10.144876,8.832422,8.913922,8.995094,9.531985,8.742339,8.929937,8.880982,8.673759,7.885657,8.879566
"PDCD1",13.377444,11.697117,11.203945,12.52823,11.4580965,12.352281,11.619102,12.911432,12.35871,9.904857,12.249041,12.494967,12.988518,13.070088,12.118292,10.006865,12.119863,13.297949,13.781383,13.154596,12.609742,13.184809,12.8325,14.717427,14.259328,9.7485695,12.607009,13.642672,13.262753,13.705678,12.816082,12.825653,13.134743,13.276113,14.502629,14.776612
"CD34",6.93480635,7.2998758,8.6919762,7.762395,8.314814,9.737766,6.86461815,8.472045,8.993516,8.034765,8.2328105,7.33921135,3.7055831,6.75337965,6.6430995,9.5274897,7.8553995,8.40536185,8.24763925,8.9892268,9.0842538,9.5503315,9.836875,9.383991,9.2134425,11.3187525,8.4432738,8.44449075,8.4918893,7.875265,9.0490859,9.9284035,8.417656,8.3575515,8.1034137,9.2848983
"FAM27A",8.89343,9.421639,10.217776,10.14898,9.241924,11.141741,8.960484,10.118299,7.761486,8.5504465,11.448912,9.535974,10.656706,8.775537,7.7482843,9.555006,8.437873,10.498934,10.234974,10.980213,11.0304785,10.59204,11.816977,9.773884,9.70909,9.509044,10.142412,9.999078,9.714219,10.039412,10.661879,9.860048,12.017242,11.279006,11.424973,10.913826
"LRRC4",6.1059804,10.652086,7.255486,6.2557116,6.0108175,5.36893,6.5268707,6.982625,6.6686044,8.051435,6.9986753,7.439976,6.063421,6.1938105,6.673998,9.0417385,5.9548473,6.8332047,7.9815702,8.448889,8.966244,7.6889057,8.359969,7.306791,7.000531,8.1537695,8.2312155,8.403192,7.704988,7.944418,8.156224,8.515563,7.9577103,8.495831,7.013939,7.9032865
"PLAT",9.841875,10.514162,12.124307,11.923739,13.318873,12.71945,11.889999,10.851821,13.28335,12.84957,10.329591,11.922399,9.704544,10.722282,10.352258,12.951594,11.106548,12.726102,9.552365,10.981387,10.126933,9.867461,10.857376,12.394143,9.333131,13.066327,9.649573,10.257215,9.255594,9.019333,10.536107,12.113965,9.6965275,10.017466,9.296652,9.63793
"ASCL3",5.6045203,7.312328,5.7476454,6.982625,4.6413193,5.7369027,4.685579,3.46326,4.60126,3.8262787,4.8275914,5.966489,2.8005977,4.450325,4.5623183,3.6979058,5.2399387,5.8867497,7.278156,7.373706,6.144618,5.907881,7.9167814,4.3757033,5.649311,5.1077776,8.081146,5.2911563,6.4652376,5.5130677,4.8592954,7.7042904,4.822157,7.989043,6.266958,6.881488
